metric,Flask (H),"Flask 0.1 (H, first draft)",Django mod. (H)
Mean Maintainability Index,64.1,40.6,75.1
Median Maintainability Index,59.3,40.6,74.8
Files with MI < 65 (%),66.7,100.0,35.7
Min file MI,24.1,40.6,13.3
Mann-Whitney U p (MI vs. human baseline),ref.,ref.,ref.
Rank-biserial r (MI),ref.,ref.,ref.
Total pylint findings,276,39,387
Convention violations (C),144,3,195
Refactoring suggestions (R),47,10,75
Warnings (W),58,13,106
Error-category findings (E),27,13,11
Findings / 100 LOC,6.5,15.66,10.99
