metric,Flask (H),"Flask 0.1 (H, first draft)",Django mod. (H)
Total findings (>= medium conf.),11,1,1
Findings / 100 LOC,0.26,0.4,0.03
High severity,1,1,0
Fisher's exact p (High vs. human baseline),ref.,ref.,ref.
Medium severity,3,0,0
Fisher's exact p (Medium vs. human baseline),ref.,ref.,ref.
Low severity,7,0,1
Fisher's exact p (Low vs. human baseline),ref.,ref.,ref.
  CWE-259,1,0,0
  CWE-327,1,0,0
  CWE-617,5,0,0
  CWE-703,1,0,0
  CWE-78,2,0,0
  CWE-79,1,0,0
  CWE-94,0,1,0
  CWE-502,0,0,1
